epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.3568,3.8335,13.0325,0.00377,0.46886,0.57194,0.4058,0.11663,2.81702,3.56905,0.00188,0.00045009,0.00045009,0.00045009
2,33.5839,2.87257,2.49949,0.00165,0.58337,0.59876,0.53186,0.18001,2.46456,1.45782,0.0016,0.000907773,0.000907773,0.000907773
3,51.1907,2.7392,1.56813,0.0015,0.57142,0.66146,0.52061,0.16348,2.63878,1.29046,0.00173,0.00135621,0.00135621,0.00135621
4,68.4093,2.61077,1.3272,0.00144,0.61651,0.71449,0.6567,0.23115,2.34804,1.10108,0.00156,0.00161749,0.00161749,0.00161749
5,90.0295,2.57289,1.17581,0.00144,0.68662,0.74653,0.70889,0.2244,2.53962,0.96239,0.00172,0.00160099,0.00160099,0.00160099
6,106.303,2.59818,1.17292,0.00137,0.51341,0.77752,0.67998,0.26379,2.18502,1.05815,0.00142,0.00158448,0.00158448,0.00158448
7,116.287,2.50966,1.21251,0.00138,0.42869,0.67246,0.56543,0.18439,2.42388,1.28573,0.00158,0.00156798,0.00156798,0.00156798
8,126.032,2.43992,1.19533,0.00126,0.66226,0.66327,0.64382,0.23499,2.32167,1.07061,0.00152,0.00155148,0.00155148,0.00155148
9,135.599,2.42444,1.13741,0.0013,0.51857,0.75533,0.56463,0.19773,2.50969,1.13789,0.00164,0.00153497,0.00153497,0.00153497
10,148.204,2.45862,1.12889,0.00131,0.58379,0.76214,0.67241,0.24431,2.20536,0.99802,0.00142,0.00151847,0.00151847,0.00151847
11,165.911,2.34588,1.04278,0.00122,0.56255,0.80104,0.67555,0.25994,2.15024,1.00316,0.00136,0.00150197,0.00150197,0.00150197
12,186.444,2.3686,1.07497,0.00126,0.62156,0.73187,0.66518,0.26466,2.14066,0.99994,0.00136,0.00148546,0.00148546,0.00148546
13,205.948,2.25804,1.02195,0.00114,0.5881,0.72848,0.64796,0.25126,2.17237,1.04873,0.00141,0.00146896,0.00146896,0.00146896
14,226.468,2.25124,1.07129,0.00117,0.605,0.82373,0.70672,0.28554,2.08857,0.98966,0.00133,0.00145246,0.00145246,0.00145246
