epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.8215,2.79828,5.84447,0.00118,0.57883,0.61652,0.58274,0.1864,2.48387,1.22623,0.00089,0.000551698,0.000551698,0.000551698
2,169.548,2.52208,1.3722,0.00092,0.64149,0.61138,0.61541,0.17986,2.71799,1.1334,0.00099,0.0010964,0.0010964,0.0010964
3,255.967,2.55644,1.18664,0.00093,0.54772,0.51516,0.43587,0.09854,3.26735,1.25379,0.00126,0.0016301,0.0016301,0.0016301
4,341.994,2.41726,1.06256,0.00088,0.65918,0.65781,0.64974,0.2289,2.43276,1.03155,0.00085,0.00161749,0.00161749,0.00161749
5,432.923,2.38958,1.04982,0.00088,0.75899,0.65339,0.68715,0.26748,2.34951,1.07782,0.00083,0.00160099,0.00160099,0.00160099
6,525.782,2.30678,0.95802,0.00084,0.78094,0.70976,0.73189,0.28375,2.27977,0.88042,0.00077,0.00158448,0.00158448,0.00158448
7,616.286,2.29439,0.94605,0.00083,0.78719,0.71999,0.77654,0.32902,2.08534,0.90623,0.00074,0.00156798,0.00156798,0.00156798
8,707.021,2.0929,0.91927,0.00074,0.7444,0.65869,0.69837,0.27011,2.21252,1.23516,0.00075,0.00155148,0.00155148,0.00155148
9,802.589,2.02353,0.89032,0.0007,0.791,0.67813,0.7518,0.28404,2.25334,0.99911,0.00078,0.00153497,0.00153497,0.00153497
10,893.785,2.02537,0.83904,0.00071,0.81469,0.72874,0.81874,0.37529,1.96879,0.90444,0.00066,0.00151847,0.00151847,0.00151847
11,984.687,1.96924,0.82205,0.00068,0.83193,0.71783,0.81427,0.37403,1.94662,0.9187,0.00067,0.00150197,0.00150197,0.00150197
12,1076.67,1.96663,0.80147,0.00068,0.75513,0.69564,0.77012,0.33562,2.13167,1.09041,0.00073,0.00148546,0.00148546,0.00148546
13,1165.81,1.99915,0.82298,0.00069,0.81046,0.74625,0.82517,0.39249,1.981,0.79855,0.00069,0.00146896,0.00146896,0.00146896
14,1256.7,1.93868,0.79853,0.00066,0.84047,0.74049,0.83816,0.44081,1.73204,0.80477,0.0006,0.00145246,0.00145246,0.00145246
15,1347.63,1.95073,0.7754,0.00068,0.86146,0.77971,0.86538,0.4294,1.85245,0.72731,0.00063,0.00143595,0.00143595,0.00143595
16,1436.86,1.87392,0.74158,0.00064,0.80566,0.76203,0.83214,0.34437,2.1915,0.87864,0.00076,0.00141945,0.00141945,0.00141945
17,1527.44,1.88015,0.76044,0.00063,0.82716,0.7762,0.8557,0.40269,1.9305,0.81046,0.00065,0.00140295,0.00140295,0.00140295
18,1618.16,1.83092,0.77723,0.00063,0.76474,0.75791,0.81692,0.40278,1.82345,0.88396,0.00061,0.00138644,0.00138644,0.00138644
19,1708.14,1.87552,0.74859,0.00064,0.86771,0.81503,0.89353,0.47013,1.75277,0.68229,0.00059,0.00136994,0.00136994,0.00136994
20,1796.63,1.81738,0.7258,0.00062,0.84841,0.75834,0.87265,0.46271,1.74732,0.7764,0.00059,0.00135344,0.00135344,0.00135344
21,1889.22,1.80496,0.70936,0.00061,0.86201,0.80074,0.89109,0.45248,1.78594,0.69776,0.00061,0.00133693,0.00133693,0.00133693
