epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,10575.1,1.63511,0.6194,0.00057,0.87465,0.84623,0.93317,0.52177,1.62295,0.60318,0.00054,0.00107205,0.00107205,0.00107205
43,10824.2,1.64038,0.62247,0.00056,0.83829,0.85655,0.9315,0.53853,1.54359,0.61393,0.00051,0.00104705,0.00104705,0.00104705
44,11073.6,1.62913,0.60499,0.00056,0.83017,0.84529,0.92569,0.53843,1.5418,0.65155,0.00051,0.00102184,0.00102184,0.00102184
45,11321.1,1.58823,0.60435,0.00055,0.86253,0.81011,0.92041,0.53724,1.53026,0.66803,0.0005,0.000996456,0.000996456,0.000996456
46,11569.8,1.59392,0.60157,0.00055,0.86741,0.84508,0.93954,0.55866,1.47594,0.62847,0.00049,0.000970919,0.000970919,0.000970919
47,11817.6,1.61673,0.59732,0.00055,0.88276,0.84723,0.93565,0.55145,1.4951,0.60173,0.00049,0.000945256,0.000945256,0.000945256
48,12067.8,1.60693,0.60602,0.00055,0.86803,0.84861,0.94012,0.57124,1.43515,0.58845,0.00048,0.00091949,0.00091949,0.00091949
49,12317.1,1.63428,0.60996,0.00056,0.85503,0.83818,0.93139,0.5484,1.48446,0.62439,0.00049,0.000893648,0.000893648,0.000893648
50,12567.3,1.58212,0.59021,0.00054,0.84928,0.82071,0.92531,0.55202,1.46714,0.65083,0.00049,0.000867754,0.000867754,0.000867754
51,12820.2,1.58418,0.59618,0.00054,0.8696,0.8292,0.93565,0.57073,1.42926,0.61268,0.00047,0.000841835,0.000841835,0.000841835
52,13076.9,1.59861,0.60717,0.00055,0.86523,0.85015,0.93831,0.57973,1.41853,0.58156,0.00047,0.000815916,0.000815916,0.000815916
53,13336,1.55893,0.57447,0.00053,0.86649,0.84241,0.9324,0.55462,1.50098,0.61046,0.00049,0.000790022,0.000790022,0.000790022
54,13599.4,1.57136,0.59161,0.00054,0.87961,0.84088,0.93577,0.57064,1.4422,0.5949,0.00048,0.00076418,0.00076418,0.00076418
55,13848.1,1.56054,0.58586,0.00054,0.87839,0.84165,0.94093,0.5697,1.4609,0.57676,0.00048,0.000738414,0.000738414,0.000738414
56,14094.2,1.55565,0.56247,0.00053,0.88161,0.84586,0.94224,0.55296,1.50759,0.60846,0.00049,0.000712751,0.000712751,0.000712751
57,14338.4,1.53757,0.56596,0.00052,0.89206,0.84664,0.94238,0.56353,1.48292,0.59276,0.00049,0.000687214,0.000687214,0.000687214
58,14585.2,1.52598,0.57602,0.00052,0.88031,0.82625,0.93605,0.57325,1.42873,0.61728,0.00047,0.000661831,0.000661831,0.000661831
59,14834.7,1.51695,0.5753,0.00052,0.89332,0.79795,0.92656,0.57423,1.40808,0.66768,0.00046,0.000636625,0.000636625,0.000636625
60,15082.4,1.5037,0.54811,0.00051,0.85829,0.8445,0.93645,0.56483,1.45286,0.60491,0.00047,0.000611621,0.000611621,0.000611621
61,15328.9,1.53334,0.56503,0.00052,0.88172,0.78009,0.91767,0.57386,1.40277,0.71211,0.00046,0.000586845,0.000586845,0.000586845
62,15580.5,1.49831,0.5577,0.0005,0.89708,0.78922,0.92911,0.59254,1.35758,0.66042,0.00044,0.00056232,0.00056232,0.00056232
63,15838.1,1.4936,0.55776,0.0005,0.88717,0.84735,0.94562,0.59468,1.3656,0.56265,0.00044,0.000538072,0.000538072,0.000538072
64,16092.1,1.47732,0.54993,0.0005,0.88209,0.80972,0.93287,0.58881,1.37248,0.6144,0.00045,0.000514122,0.000514122,0.000514122
65,16342.2,1.47912,0.54948,0.0005,0.8861,0.85416,0.9484,0.5854,1.4181,0.57011,0.00046,0.000490497,0.000490497,0.000490497
66,16590.1,1.45696,0.53754,0.0005,0.89103,0.81072,0.93188,0.57569,1.42427,0.65285,0.00047,0.000467218,0.000467218,0.000467218
67,16835.4,1.48147,0.54337,0.0005,0.89673,0.79486,0.93239,0.58157,1.38624,0.63801,0.00045,0.000444309,0.000444309,0.000444309
68,17080.8,1.46309,0.5393,0.00049,0.8767,0.8114,0.93687,0.59949,1.34851,0.61375,0.00044,0.000421792,0.000421792,0.000421792
69,17332.9,1.45335,0.54109,0.00048,0.88354,0.82457,0.9396,0.59118,1.38798,0.59598,0.00045,0.000399689,0.000399689,0.000399689
70,17584.9,1.45621,0.54122,0.0005,0.89055,0.8522,0.94411,0.59998,1.34267,0.56825,0.00044,0.000378023,0.000378023,0.000378023
71,17835.7,1.46045,0.54032,0.00049,0.89003,0.84713,0.94833,0.60777,1.33295,0.56808,0.00043,0.000356815,0.000356815,0.000356815
72,18083.8,1.44358,0.53818,0.00049,0.89817,0.83218,0.93921,0.60045,1.34054,0.61255,0.00044,0.000336086,0.000336086,0.000336086
73,18326.3,1.42954,0.53517,0.00049,0.90963,0.84035,0.94829,0.60848,1.33278,0.56909,0.00044,0.000315855,0.000315855,0.000315855
74,18579.4,1.45417,0.54265,0.00048,0.89899,0.79659,0.92488,0.59445,1.34682,0.65571,0.00044,0.000296144,0.000296144,0.000296144
75,18841,1.43151,0.52418,0.00047,0.90259,0.84068,0.94272,0.60141,1.3565,0.58417,0.00044,0.000276971,0.000276971,0.000276971
